ImageId,Label
1,2
2,5
3,9
4,9
5,1
6,8
7,6
8,3
9,5
10,3
11,5
12,9
13,9
14,5
15,4
16,3
17,2
18,1
19,9
20,2
21,9
22,1
23,1
24,3
25,7
26,4
27,1
28,9
29,1
30,7
31,7
32,5
33,4
34,2
35,6
36,2
37,4
38,5
39,9
40,6
41,7
42,7
43,4
44,9
45,1
46,7
47,9
48,2
49,6
50,1
51,6
52,5
53,1
54,3
55,5
56,2
57,1
58,2
59,6
60,5
61,4
62,1
63,7
64,2
65,5
66,6
67,1
68,9
69,6
70,1
71,2
72,5
73,4
74,5
75,2
76,8
77,3
78,9
79,2
80,2
81,3
82,9
83,1
84,5
85,9
86,2
87,4
88,3
89,4
90,9
91,3
92,5
93,6
94,6
95,1
96,9
97,3
98,5
99,7
100,4
101,2
102,9
103,2
104,7
105,9
106,9
107,2
108,5
109,5
110,8
111,5
112,5
113,9
114,2
115,1
116,9
117,1
118,1
119,3
120,3
121,3
122,9
123,2
124,1
125,6
126,3
127,3
128,7
129,1
130,5
131,3
132,8
133,6
134,8
135,6
136,2
137,3
138,1
139,3
140,5
141,4
142,3
143,4
144,8
145,1
146,9
147,9
148,9
149,2
150,1
151,9
152,3
153,7
154,6
155,8
156,1
157,7
158,5
159,7
160,8
161,3
162,5
163,4
164,5
165,1
166,8
167,7
168,2
169,3
170,5
171,3
172,7
173,7
174,6
175,1
176,3
177,7
178,4
179,1
180,2
181,4
182,1
183,5
184,6
185,4
186,9
187,2
188,1
189,6
190,4
191,6
192,1
193,4
194,4
195,6
196,5
197,9
198,7
199,6
200,9
201,1
202,9
203,5
204,9
205,9
206,5
207,8
208,4
209,6
210,4
211,5
212,9
213,3
214,6
215,9
216,2
217,1
218,6
219,3
220,4
221,2
222,3
223,1
224,3
225,2
226,6
227,9
228,6
229,1
230,5
231,3
232,9
233,9
234,1
235,7
236,3
237,2
238,3
239,9
240,6
241,3
242,6
243,2
244,5
245,5
246,5
247,9
248,8
249,3
250,9
251,9
252,9
253,1
254,3
255,8
256,4
257,8
258,1
259,4
260,2
261,6
262,3
263,3
264,8
265,7
266,3
267,6
268,8
269,2
270,1
271,6
272,8
273,6
274,3
275,9
276,9
277,1
278,9
279,8
280,4
281,5
282,5
283,2
284,5
285,5
286,3
287,7
288,1
289,9
290,9
291,5
292,9
293,7
294,9
295,9
296,6
297,3
298,8
299,3
300,3
301,6
302,9
303,8
304,1
305,6
306,9
307,9
308,1
309,4
310,5
311,8
312,6
313,9
314,9
315,4
316,3
317,8
318,1
319,1
320,9
321,9
322,1
323,1
324,9
325,9
326,4
327,9
328,1
329,5
330,8
331,6
332,3
333,1
334,2
335,6
336,9
337,8
338,6
339,6
340,9
341,6
342,4
343,1
344,8
345,1
346,4
347,4
348,6
349,2
350,8
351,4
352,7
353,7
354,2
355,7
356,2
357,9
358,9
359,4
360,1
361,2
362,6
363,3
364,5
365,9
366,4
367,3
368,3
369,1
370,6
371,4
372,9
373,9
374,9
375,7
376,4
377,9
378,3
379,3
380,7
381,6
382,7
383,5
384,9
385,2
386,6
387,2
388,1
389,3
390,4
391,1
392,7
393,4
394,9
395,6
396,1
397,1
398,1
399,9
400,3
401,9
402,7
403,6
404,1
405,1
406,1
407,2
408,3
409,9
410,5
411,5
412,3
413,4
414,1
415,2
416,3
417,1
418,1
419,3
420,8
421,9
422,6
423,6
424,8
425,3
426,1
427,4
428,7
429,4
430,7
431,4
432,8
433,8
434,2
435,6
436,1
437,3
438,4
439,8
440,6
441,5
442,4
443,9
444,4
445,9
446,4
447,1
448,5
449,3
450,9
451,9
452,7
453,6
454,9
455,3
456,2
457,2
458,3
459,9
460,9
461,6
462,9
463,5
464,6
465,7
466,1
467,7
468,9
469,4
470,1
471,1
472,4
473,9
474,8
475,6
476,8
477,1
478,9
479,1
480,6
481,4
482,5
483,1
484,1
485,9
486,9
487,4
488,9
489,3
490,7
491,4
492,4
493,2
494,4
495,2
496,7
497,8
498,3
499,3
500,5
501,6
502,5
503,4
504,4
505,1
506,2
507,3
508,3
509,6
510,6
511,7
512,8
513,3
514,7
515,9
516,3
517,1
518,7
519,4
520,2
521,4
522,9
523,3
524,7
525,9
526,1
527,8
528,1
529,1
530,7
531,2
532,5
533,3
534,8
535,9
536,5
537,6
538,5
539,4
540,3
541,5
542,2
543,2
544,2
545,5
546,3
547,3
548,9
549,2
550,1
551,1
552,3
553,7
554,8
555,2
556,2
557,9
558,1
559,6
560,2
561,6
562,3
563,1
564,1
565,2
566,8
567,4
568,1
569,1
570,4
571,4
572,8
573,3
574,6
575,4
576,4
577,1
578,5
579,4
580,3
581,5
582,1
583,2
584,6
585,9
586,1
587,7
588,6
589,9
590,3
591,9
592,5
593,1
594,3
595,5
596,6
597,4
598,6
599,5
600,3
601,1
602,1
603,7
604,1
605,6
606,2
607,8
608,3
609,6
610,4
611,9
612,4
613,3
614,2
615,2
616,4
617,4
618,6
619,6
620,7
621,9
622,5
623,9
624,4
625,2
626,3
627,1
628,3
629,6
630,7
631,6
632,1
633,5
634,4
635,1
636,9
637,7
638,7
639,5
640,3
641,6
642,9
643,9
644,6
645,7
646,8
647,4
648,4
649,1
650,5
651,9
652,9
653,9
654,2
655,9
656,2
657,4
658,3
659,3
660,7
661,2
662,3
663,4
664,5
665,4
666,1
667,1
668,3
669,3
670,6
671,3
672,9
673,4
674,3
675,9
676,7
677,7
678,9
679,6
680,5
681,6
682,9
683,9
684,9
685,9
686,3
687,4
688,4
689,9
690,9
691,2
692,6
693,6
694,1
695,5
696,4
697,3
698,9
699,9
700,8
701,4
702,4
703,8
704,5
705,2
706,3
707,9
708,4
709,6
710,5
711,9
712,8
713,1
714,5
715,9
716,2
717,6
718,3
719,7
720,8
721,9
722,1
723,1
724,2
725,1
726,2
727,6
728,4
729,7
730,5
731,7
732,1
733,3
734,2
735,2
736,7
737,1
738,5
739,1
740,8
741,4
742,9
743,3
744,9
745,3
746,9
747,6
748,7
749,3
750,6
751,4
752,9
753,4
754,4
755,1
756,4
757,7
758,1
759,1
760,2
761,2
762,5
763,4
764,5
765,4
766,5
767,6
768,5
769,1
770,9
771,4
772,5
773,5
774,1
775,4
776,3
777,4
778,6
779,3
780,1
781,1
782,6
783,4
784,8
785,3
786,8
787,3
788,9
789,8
790,5
791,8
792,5
793,4
794,8
795,6
796,3
797,1
798,6
799,9
800,9
801,1
802,1
803,3
804,3
805,1
806,4
807,9
808,6
809,9
810,1
811,5
812,4
813,2
814,2
815,9
816,4
817,3
818,5
819,9
820,9
821,3
822,5
823,4
824,6
825,1
826,9
827,2
828,4
829,9
830,2
831,1
832,3
833,8
834,9
835,3
836,9
837,6
838,1
839,3
840,9
841,1
842,9
843,7
844,5
845,6
846,6
847,9
848,2
849,1
850,5
851,9
852,9
853,9
854,7
855,2
856,4
857,1
858,3
859,9
860,3
861,5
862,4
863,1
864,9
865,2
866,3
867,6
868,9
869,2
870,3
871,4
872,3
873,4
874,3
875,2
876,3
877,1
878,1
879,5
880,1
881,4
882,2
883,1
884,9
885,2
886,7
887,1
888,8
889,4
890,9
891,1
892,7
893,6
894,3
895,4
896,2
897,5
898,4
899,1
900,1
901,5
902,2
903,5
904,7
905,4
906,7
907,1
908,3
909,2
910,7
911,2
912,9
913,4
914,9
915,1
916,2
917,4
918,6
919,1
920,5
921,7
922,3
923,6
924,9
925,4
926,7
927,9
928,6
929,6
930,3
931,3
932,2
933,1
934,4
935,1
936,3
937,7
938,9
939,9
940,8
941,6
942,6
943,6
944,1
945,4
946,9
947,5
948,6
949,9
950,3
951,6
952,7
953,7
954,2
955,3
956,2
957,1
958,3
959,6
960,6
961,7
962,9
963,4
964,3
965,4
966,5
967,1
968,9
969,9
970,5
971,3
972,2
973,8
974,6
975,7
976,7
977,8
978,6
979,7
